lexeme,variants,gen,sg,pl
afro-américain,afro-américain,m,afʁoamEʁikɛ̃,afʁoamEʁikɛ̃
afro-américaine,afro-américaine,f,afʁOamEʁikɛ̃,afʁOamEʁikɛ̃
afro-cubain,afro-cubain,m,afʁOkybɛ̃,afʁOkybɛ̃
afro-cubaine,afro-cubaine,f,afʁOkybɛn,afʁOkybɛn
after-shave,after-shave,m,aftœʁʃɛv,aftœʁʃɛv
aga,aga:agha,m,aga,aga
agace,agace:agasse,f,agas,agas
agacement,agacement,m,agasəmɑ̃,agasəmɑ̃
agacerie,agacerie,f,agasəʁi,agasəʁi
agaceur,agaceur,m,agasœʁ,agasœʁ
agame,agame,m,agam,agam
agami,agami,m,agami,agami
agapanthe,agapanthe,f,agapɑ̃t,agapɑ̃t
agape,agape,f,agap,agap
agar-agar,agar-agar,m,agaʁagaʁ,agaʁagaʁ
agate,agate:agathe,f,agat,agat
agave,agave,m,agav,agav
age,age:âge,m,aʒ,aʒ
agence,agence,f,aʒɑ̃s,aʒɑ̃s
agencement,agencement,m,aʒɑ̃səmɑ̃,aʒɑ̃səmɑ̃
agenda,agenda,m,aʒɛ̃da,aʒɛ̃da
agenouillement,agenouillement,m,aʒənujəmɑ̃,aʒənujəmɑ̃
agent,agent,m,aʒɑ̃,aʒɑ̃
agente,agente,f,aʒɑ̃t,aʒɑ̃t
aggiornamento,aggiornamento,m,aʒjɔʁnamɛnto,aʒjɔʁnamɛnto
agglo,agglo,m,aglo,aglo
agglomérat,agglomérat,m,aglOmEʁa,aglOmEʁa
agglomération,agglomération,f,aglOmEʁasjɔ̃,aglOmEʁasjɔ̃
aggloméré,aggloméré,m,aglOmEʁe,aglOmEʁe
agglutination,agglutination,f,aglytinasjɔ̃,aglytinasjɔ̃
agglutinement,agglutinement,m,aglytinəmɑ̃,aglytinəmɑ̃
agglutinogène,agglutinogène,m,aglytinOʒɛn,aglytinOʒɛn
aggravation,aggravation,f,agʁavasjɔ̃,agʁavasjɔ̃
aggrave,aggrave,f,agʁav,agʁav
aggravée,aggravée,f,agʁave,agʁave
agilité,agilité,f,aʒilite,aʒilite
agio,agio,m,aʒjo,aʒjo
agioteur,agioteur,m,aʒjOtœʁ,aʒjOtœʁ
âgisme,âgisme,m,aʒizm,aʒizm
agissement,agissement,m,aʒisəmɑ̃,aʒisəmɑ̃
agit-prop,agit-prop,f,aʒitpʁɔp,aʒitpʁɔp
agitateur,agitateur,m,aʒitatœʁ,aʒitatœʁ
agitation,agitation,f,aʒitasjɔ̃,aʒitasjɔ̃
agitatrice,agitatrice,f,aʒitatʁis,aʒitatʁis
agité,agité,m,aʒite,aʒite
agitée,agitée,f,aʒite,aʒite
agnat,agnat,m,aɲa,aɲa
agnathe,agnathe,m,aɲat,aɲat
agneau,agneau,m,aɲo,aɲo
agnelage,agnelage,m,aɲəlaʒ,aɲəlaʒ
agnelet,agnelet,m,aɲəlɛ,aɲəlɛ
agneline,agneline,f,aɲəlin,aɲəlin
agnelle,agnelle,f,aɲɛl,aɲɛl
agnosie,agnosie,f,agnOzi,agnOzi
agnostique,agnostique,b,agnOstik,agnOstik
agnus dei,agnus dei,m,agnusdEi,agnusdEi
agonie,agonie,f,agOni,agOni
agonique,agonique,b,agOnik,agOnik
agonisant,agonisant,m,agOnizɑ̃,agOnizɑ̃
agonisante,agonisante,f,agOnizɑ̃t,agOnizɑ̃t
agora,agora,f,agOʁa,agOʁa
agoraphobe,agoraphobe,b,agOʁafɔb,agOʁafɔb
agoraphobie,agoraphobie,f,agOʁafObi,agOʁafObi
agouti,agouti,m,aguti,aguti
agoyate,agoyate,m,agOjat,agOjat
agrafage,agrafage,m,agʁafaʒ,agʁafaʒ
agrafe,agrafe,f,agʁaf,agʁaf
agrafeur,agrafeur,m,agʁafœʁ,agʁafœʁ
agrafeuse,agrafeuse,f,agʁaføz,agʁaføz
agrainage,agrainage,m,agʁEnaʒ,agʁEnaʒ
agrandissement,agrandissement,m,agʁɑ̃disəmɑ̃,agʁɑ̃disəmɑ̃
agrandisseur,agrandisseur,m,agʁɑ̃disœʁ,agʁɑ̃disœʁ
agranulocytose,agranulocytose,f,agʁanylOsitoz,agʁanylOsitoz
agréable,agréable,m,agʁEabl,agʁEabl
agréé,agréé,m,agʁEe,agʁEe
agrég,agrég,f,agʁɛg,agʁɛg
agrégat,agrégat,m,agʁEga,agʁEga
agrégatif,agrégatif,m,agʁEgatif,agʁEgatif
agrégation,agrégation,f,agʁEgasjɔ̃,agʁEgasjɔ̃
agrégative,agrégative,f,agʁEgativ,agʁEgativ
agrégé,agrégé,m,agʁEʒe,agʁEʒe
agrégée,agrégée,f,agʁEʒe,agʁEʒe
agrément,agrément,m,agʁEmɑ̃,agʁEmɑ̃
agrès,agrès,m,agʁɛ,agʁɛ
agresseur,agresseur,m,agʁEsœʁ,agʁEsœʁ
agression,agression,f,agʁEsjɔ̃,agʁEsjɔ̃
agressivité,agressivité,f,agʁEsivite,agʁEsivite
agriculteur,agriculteur,m,agʁikyltœʁ,agʁikyltœʁ
agricultrice,agricultrice,f,agʁikyltʁis,agʁikyltʁis
agriculture,agriculture,f,agʁikyltyʁ,agʁikyltyʁ
agrippement,agrippement,m,agʁipəmɑ̃,agʁipəmɑ̃
agro,agro,b,agʁo,agʁo
agroalimentaire,agroalimentaire,m,agʁOalimɑ̃tɛʁ,agʁOalimɑ̃tɛʁ
agronome,agronome,b,agʁOnɔm,agʁOnɔm
agronomie,agronomie,f,agʁOnOmi,agʁOnOmi
agroville,agroville,f,agʁOvij,agʁOvij
agrume,agrume,m,agʁym,agʁym
aguardiente,aguardiente,f,agwaʁdjɛnte,agwaʁdjɛnte
aguichage,aguichage,m,agiʃaʒ,agiʃaʒ
aguiche,aguiche,f,agiʃ,agiʃ
aguicheuse,aguicheuse,f,agiʃøz,agiʃøz
ahan,ahan,m,aɑ̃,aɑ̃
ahanement,ahanement,m,aanəmɑ̃,aanəmɑ̃
ahuri,ahuri,m,ayʁi,ayʁi
ahurie,ahurie,f,ayʁi,ayʁi
ahurissement,ahurissement,m,ayʁisəmɑ̃,ayʁisəmɑ̃
aï,aï,m,ai,ai
aïd,aïd,m,aid,aid
aide-bourreau,aide-bourreau,b,ɛdbuʁo,ɛdbuʁo
aide-comptable,aide-comptable,m,ɛdkɔ̃tabl,ɛdkɔ̃tabl
aide-cuisinier,aide-cuisinier,m,ɛdkɥizinje,ɛdkɥizinje
aide-infirmier,aide-infirmier,b,ɛdɛ̃fiʁmje,ɛdɛ̃fiʁmje
aide-jardinier,aide-jardinier,m,ɛdʒaʁdinje,ɛdʒaʁdinje
aide-major,aide-major,m,ɛdmaʒɔʁ,ɛdmaʒɔʁ
aide-mémoire,aide-mémoire,m,ɛdmEmwaʁ,ɛdmEmwaʁ
aide-ménagère,aide-ménagère,f,ɛdmEnaʒɛʁ,ɛdmEnaʒɛʁ
aide-pharmacien,aide-pharmacien,b,ɛdfaʁmasjɛ,ɛdfaʁmasjɛ
aide-soignant,aide-soignant,m,ɛdswaɲɑ̃,ɛdswaɲɑ̃
aide-soignante,aide-soignante,f,ɛdswaɲɑ̃t,ɛdswaɲɑ̃t
aide,aide,b,ɛd,ɛd
aïeul,aïeul,m,ajœl,ajø
aïeule,aïeule,f,ajœl,ajœl
aigle,aigle,b,ɛgl,ɛgl
aiglefin,aiglefin,m,ɛgləfɛ̃,ɛgləfɛ̃
aiglon,aiglon,m,Eglɔ̃,Eglɔ̃
aigre,aigre,m,ɛgʁ,ɛgʁ
aigrette,aigrette,f,Egʁɛt,Egʁɛt
aigreur,aigreur,f,Egʁœʁ,Egʁœʁ
aigri,aigri,m,Egʁi,Egʁi
aigrie,aigrie,f,Egʁi,Egʁi
aigu,aigu,m,Egy,Egy
aiguade,aiguade,f,Egad,Egad
aiguail,aiguail,m,Egaj,Egaj
aigue-marine,aigue-marine,f,ɛgmaʁin,ɛgmaʁin
aiguière,aiguière,f,Egjɛʁ,Egjɛʁ
aiguillage,aiguillage,m,Egɥijaʒ,Egɥijaʒ
aiguillat,aiguillat,m,Egɥija,Egɥija
aiguille,aiguille,f,Egɥij,Egɥij
aiguillée,aiguillée,f,Egɥije,Egɥije
aiguillette,aiguillette,f,Egɥijɛt,Egɥijɛt
aiguilleur,aiguilleur,m,Egɥijœʁ,Egɥijœʁ
aiguillon,aiguillon,m,Egɥijɔ̃,Egɥijɔ̃
aiguiseur,aiguiseur,m,Egizœʁ,Egizœʁ
aiguisoir,aiguisoir,m,Egizwaʁ,Egizwaʁ
aïkido,aïkido,m,ajkido,ajkido
ail,ail,m,aj,o
aile,aile,f,ɛl,ɛl
aileron,aileron,m,ɛləʁɔ̃,ɛləʁɔ̃
ailette,ailette,f,Elɛt,Elɛt
ailier,ailier,m,Elje,Elje
aimant,aimant,m,Emɑ̃,Emɑ̃
aimantation,aimantation,f,Emɑ̃tasjɔ̃,Emɑ̃tasjɔ̃
aimeuse,aimeuse,f,Emøz,Emøz
aine,aine:haine,f,ɛn,ɛn
aîné,aîné:henné,m,Ene,Ene
aînée,aînée,f,Ene,Ene
aînesse,aînesse,f,Enɛs,Enɛs
aïoli,aïoli,m,ajOli,ajOli
air bag,air bag:airbag,m,ɛʁbag,ɛʁbag
air,air:ers:hère,m,ɛʁ,ɛʁ
airain,airain,m,Eʁɛ̃,Eʁɛ̃
airbus,airbus,m,ɛʁbys,ɛʁbys
aire,aire:ère:erre:haire,f,ɛʁ,ɛʁ
airedale,airedale,m,ɛʁədal,ɛʁədal
airelle,airelle,f,Eʁɛl,Eʁɛl
ais,ais,m,ɛ,ɛ
aisance,aisance,f,Ezɑ̃s,Ezɑ̃s
aise,aise,f,ɛz,ɛz
aisseau,aisseau,m,Eso,Eso
aisselle,aisselle,f,Esɛl,Esɛl
aître,aître:être:hêtre,m,ɛtʁ,ɛtʁ
aixois,aixois,m,Ekswa,Ekswa
ajaccienne,ajaccienne,f,aʒaksjɛn,aʒaksjɛn
ajax,ajax,m,aʒaks,aʒaks
ajonc,ajonc,m,aʒɔ̃,aʒɔ̃
ajour,ajour,m,aʒuʁ,aʒuʁ
ajournement,ajournement,m,aʒuʁnəmɑ̃,aʒuʁnəmɑ̃
ajout,ajout,m,aʒu,aʒu
ajoute,ajoute,f,aʒut,aʒut
ajouté,ajouté,m,aʒute,aʒute
ajustage,ajustage,m,aʒystaʒ,aʒystaʒ
ajustement,ajustement,m,aʒystəmɑ̃,aʒystəmɑ̃
ajusteur,ajusteur,m,aʒystœʁ,aʒystœʁ
ajusture,ajusture,f,aʒystyʁ,aʒystyʁ
ajutage,ajutage,m,aʒytaʒ,aʒytaʒ
ako,ako,m,ako,ako
akvavit,akvavit,m,akvavi,akvavi
alabandine,alabandine,f,alabɑ̃din,alabɑ̃din
alacrité,alacrité,f,alakʁite,alakʁite
alain,alain,b,alɛ̃,alɛ̃
alaise,alaise:alèse:alèze,f,alɛz,alɛz
alambic,alambic,m,alɑ̃bik,alɑ̃bik
alanguissement,alanguissement,m,alɑ̃gisəmɑ̃,alɑ̃gisəmɑ̃
alarme,alarme,f,alaʁm,alaʁm
alarmisme,alarmisme,m,alaʁmizm,alaʁmizm
alarmiste,alarmiste,b,alaʁmist,alaʁmist
alba,alba,f,alba,alba
albacore,albacore,m,albakɔʁ,albakɔʁ
albanais,albanais,m,albanɛ,albanɛ
albanaise,albanaise,f,albanɛz,albanɛz
albâtre,albâtre,m,albatʁ,albatʁ
albatros,albatros,m,albatʁos,albatʁos
albe,albe,m,alb,alb
albène,albène,m,albɛn,albɛn
albertine,albertine,f,albɛʁtin,albɛʁtin
albigeois,albigeois,m,albiʒwa,albiʒwa
albinisme,albinisme,m,albinizm,albinizm
alboche,alboche,b,albɔʃ,albɔʃ
albugo,albugo,m,albygo,albygo
album,album,m,albɔm,albɔm
albumine,albumine,f,albymin,albymin
alcade,alcade,m,alkad,alkad
alcalde,alcalde,m,alkald,alkald
alcali,alcali:alkali,m,alkali,alkali
alcalinité,alcalinité,f,alkalinite,alkalinite
alcaloïde,alcaloïde,m,alkalOid,alkalOid
alcalose,alcalose,f,alkaloz,alkaloz
alcatraz,alcatraz,m,alkatʁaz,alkatʁaz
alcazar,alcazar,m,alkazaʁ,alkazaʁ
alcée,alcée,f,alse,alse
alchimie,alchimie,f,alʃimi,alʃimi
alchimiste,alchimiste,b,alʃimist,alʃimist
alcibiade,alcibiade,m,alsibjad,alsibjad
alcool,alcool,m,alkɔl,alkɔl
alcoolémie,alcoolémie,f,alkOlEmi,alkOlEmi
alcoolique,alcoolique,b,alkOlik,alkOlik
alcoolisme,alcoolisme,m,alkOlizm,alkOlizm
alcoolo,alcoolo,b,alkOlo,alkOlo
alcoomètre,alcoomètre,m,alkOmɛtʁ,alkOmɛtʁ
alcootest,alcootest,m,alkOtɛst,alkOtɛst
alcoran,alcoran,m,alkOʁɑ̃,alkOʁɑ̃
alcôve,alcôve,f,alkov,alkov
alcyon,alcyon:halcyon,m,alsjɔ̃,alsjɔ̃
alde,alde,m,ald,ald
aldéhyde,aldéhyde,m,aldEid,aldEid
alderman,alderman,m,aldɛʁman,aldɛʁman
aldol,aldol,m,aldɔl,aldɔl
ale,ale:halle,f,al,al
aléa,aléa,m,alEa,alEa
alène,alène:haleine,f,alɛn,alɛn
alentour,alentour,m,alɑ̃tuʁ,alɑ̃tuʁ
aleph,aleph,m,alɛf,alɛf
alerte,alerte,f,alɛʁt,alɛʁt
alevin,alevin,m,aləvɛ̃,aləvɛ̃
alexandra,alexandra,m,alEksɑ̃dʁa,alEksɑ̃dʁa
alexandrin,alexandrin,m,alEksɑ̃dʁɛ̃,alEksɑ̃dʁɛ̃
alexie,alexie,f,alEksi,alEksi
alexithymie,alexithymie,m,alEksitimi,alEksitimi
alezan,alezan,m,aləzɑ̃,aləzɑ̃
alfa,alfa:alpha,m,alfa,alfa
alfénide,alfénide,m,alfEnid,alfEnid
algarade,algarade,f,algaʁad,algaʁad
algèbre,algèbre,f,alʒɛbʁ,alʒɛbʁ
algébriste,algébriste,b,alʒEbʁist,alʒEbʁist
algérien,algérien,m,alʒEʁjɛ̃,alʒEʁjɛ̃
algérienne,algérienne,f,alʒEʁjɛn,alʒEʁjɛn
algie,algie,f,alʒi,alʒi
algonquin,algonquin,m,algɔ̃kɛ̃,algɔ̃kɛ̃
algonquine,algonquine,f,algɔ̃kin,algɔ̃kin
algorithme,algorithme,m,algOʁitm,algOʁitm
algue,algue,f,alg,alg
alhambra,alhambra,f,alɑ̃bʁa,alɑ̃bʁa
alibi,alibi,m,alibi,alibi
alidade,alidade,f,alidad,alidad
aliénation,aliénation,f,aljEnasjɔ̃,aljEnasjɔ̃
aliéné,aliéné,m,aljEne,aljEne
aliénée,aliénée,f,aljEne,aljEne
aliéniste,aliéniste,b,aljEnist,aljEnist
alignement,alignement,m,aliɲəmɑ̃,aliɲəmɑ̃
aligot,aligot,m,aligo,aligo
aligoté,aligoté,m,aligOte,aligOte
alim,alim,f,alim,alim
aliment,aliment,m,alimɑ̃,alimɑ̃
alimentation,alimentation,f,alimɑ̃tasjɔ̃,alimɑ̃tasjɔ̃
alinéa,alinéa,m,alinEa,alinEa
alise,alise,f,aliz,aliz
alisier,alisier,m,alizje,alizje
alitement,alitement,m,alitəmɑ̃,alitəmɑ̃
alizé,alizé,m,alize,alize
allaitement,allaitement:halètement,m,alɛtəmɑ̃,alɛtəmɑ̃
allant,allant,m,alɑ̃,alɑ̃
allée,allée:allez,f,ale,ale
allégation,allégation,f,alEgasjɔ̃,alEgasjɔ̃
allégeance,allégeance,f,alEʒɑ̃s,alEʒɑ̃s
allègement,allègement,m,alEʒəmɑ̃,alEʒəmɑ̃
allégement,allégement,m,alɛʒəmɑ̃,alɛʒəmɑ̃
allégorie,allégorie,f,alEgOʁi,alEgOʁi
allégresse,allégresse,f,alEgʁɛs,alEgʁɛs
allegro,allegro,m,alEgʁo,alEgʁo
allèle,allèle,m,alɛl,alɛl
alléluia,alléluia,m,alEluja,alEluja
allemagne,allemagne,f,aləmaɲ,aləmaɲ
allemand,allemand,m,aləmɑ̃,aləmɑ̃
allemande,allemande,f,aləmɑ̃d,aləmɑ̃d
aller-retour,aller-retour,m,alEʁətuʁ,alEʁətuʁ
aller,aller,m,ale,ale
allergène,allergène,m,alɛʁʒɛn,alɛʁʒɛn
allergie,allergie,f,alɛʁʒi,alɛʁʒi
allergologie,allergologie,f,alɛʁgOlOʒi,alɛʁgOlOʒi
allergologue,allergologue,b,alɛʁgOlɔg,alɛʁgOlɔg
alliage,alliage,m,aljaʒ,aljaʒ
alliance,alliance,f,aljɑ̃s,aljɑ̃s
allié,allié:allier:hallier,m,alje,alje
alliée,alliée,f,alje,alje
alligator,alligator,m,aligatɔʁ,aligatɔʁ
allitération,allitération,f,alitEʁasjɔ̃,alitEʁasjɔ̃
allium,allium,m,aljɔm,aljɔm
allobarbital,allobarbital,m,alObaʁbital,alObaʁbital
alloc,alloc,f,alɔk,alɔk
allocataire,allocataire,b,alOkatɛʁ,alOkatɛʁ
allocation,allocation,f,alOkasjɔ̃,alOkasjɔ̃
allochtone,allochtone,m,alOkton,alOkton
allocution,allocution,f,alOkysjɔ̃,alOkysjɔ̃
allogreffe,allogreffe,f,alOgʁɛf,alOgʁɛf
allonge,allonge,f,alɔ̃ʒ,alɔ̃ʒ
allongement,allongement,m,alɔ̃ʒəmɑ̃,alɔ̃ʒəmɑ̃
allopathie,allopathie,f,alOpati,alOpati
allumage,allumage,m,alymaʒ,alymaʒ
allume-cigare,allume-cigare:allume-cigares,m,alymsigaʁ,alymsigaʁ
allume-feu,allume-feu,m,alymfø,alymfø
allume-gaz,allume-gaz,m,alyməgaz,alyməgaz
allumé,allumé,m,alyme,alyme
allumée,allumée,f,alyme,alyme
allumette,allumette,f,alymɛt,alymɛt
allumeur,allumeur,m,alymœʁ,alymœʁ
allumeuse,allumeuse,f,alymøz,alymøz
allumoir,allumoir,m,alymwaʁ,alymwaʁ
allure,allure,f,alyʁ,alyʁ
allusion,allusion,f,alyzjɔ̃,alyzjɔ̃
alluvion,alluvion,f,alyvjɔ̃,alyvjɔ̃
alma,alma,f,alma,alma
almanach,almanach,m,almanak,almanak
almée,almée,f,alme,alme
almohade,almohade,b,almOad,almOad
aloès,aloès,m,alOɛs,alOɛs
aloi,aloi,m,alwa,alwa
alopécie,alopécie,f,alOpEsi,alOpEsi
alose,alose,f,aloz,aloz
alouette,alouette,f,alwɛt,alwɛt
alourdissement,alourdissement,m,aluʁdisəmɑ̃,aluʁdisəmɑ̃
aloyau,aloyau,m,alwajo,alwajo
alpaga,alpaga,m,alpaga,alpaga
alpage,alpage,m,alpaʒ,alpaʒ
alpe,alpe,f,alp,alp
alpenstock,alpenstock,m,alpɑ̃stɔk,alpɑ̃stɔk
alphabet,alphabet,m,alfabɛ,alfabɛ
alphabétisation,alphabétisation,f,alfabEtizasjɔ̃,alfabEtizasjɔ̃
alpinisme,alpinisme,m,alpinizm,alpinizm
alpiniste,alpiniste,b,alpinist,alpinist
alsacien,alsacien,m,alzasjɛ̃,alzasjɛ̃
alsacienne,alsacienne,f,alzasjɛn,alzasjɛn
alstonia,alstonia,f,alstOnja,alstOnja
alter ego,alter ego,m,altɛʁEgo,altɛʁEgo
altération,altération,f,altEʁasjɔ̃,altEʁasjɔ̃
altercation,altercation,f,altɛʁkasjɔ̃,altɛʁkasjɔ̃
altérité,altérité,f,altEʁite,altEʁite
alternance,alternance,f,altɛʁnɑ̃s,altɛʁnɑ̃s
alternateur,alternateur,m,altɛʁnatœʁ,altɛʁnatœʁ
alternative,alternative,f,altɛʁnativ,altɛʁnativ
altesse,altesse,f,altɛs,altɛs
althaea,althaea,f,altEa,altEa
altimètre,altimètre,m,altimɛtʁ,altimɛtʁ
altitude,altitude,f,altityd,altityd
alto,alto,b,alto,alto
altruisme,altruisme,m,altʁɥizm,altʁɥizm
altruiste,altruiste,b,altʁɥist,altʁɥist
altuglas,altuglas,m,altyglas,altyglas
alu,alu,m,aly,aly
alude,alude,f,alyd,alyd
aluette,aluette,f,alɥɛt,alɥɛt
aluminium,aluminium,m,alyminjɔm,alyminjɔm
alun,alun,m,alœ̃,alœ̃
alunissage,alunissage,m,alynisaʒ,alynisaʒ
alvar,alvar,m,alvaʁ,alvaʁ
alvéole,alvéole,m,alvEɔl,alvEɔl
alysse,alysse,m,alis,alis
amabilité,amabilité,f,amabilite,amabilite
amadou,amadou,m,amadu,amadu
amaigrissement,amaigrissement,m,amEgʁisəmɑ̃,amEgʁisəmɑ̃
amalgame,amalgame,m,amalgam,amalgam
aman,aman:amant,m,amɑ̃,amɑ̃
amande,amande:amende,f,amɑ̃d,amɑ̃d
amandier,amandier,m,amɑ̃dje,amɑ̃dje
amandine,amandine,f,amɑ̃din,amɑ̃din
amanite,amanite,f,amanit,amanit
amante,amante,f,amɑ̃t,amɑ̃t
amarante,amarante,b,amaʁɑ̃t,amaʁɑ̃t
amaro,amaro,m,amaʁo,amaʁo
amarrage,amarrage,m,amaʁaʒ,amaʁaʒ
amarre,amarre,f,amaʁ,amaʁ
amaryllis,amaryllis,f,amaʁilis,amaʁilis
amas,amas,m,ama,ama
amateur,amateur,b,amatœʁ,amatœʁ
amateurisme,amateurisme,m,amatØʁizm,amatØʁizm
amatrice,amatrice,f,amatʁis,amatʁis
amaurose,amaurose,f,amOʁoz,amOʁoz
amazone,amazone,f,amazon,amazon
ambage,ambage,f,ɑ̃baʒ,ɑ̃baʒ
ambassade,ambassade,f,ɑ̃basad,ɑ̃basad
ambassadeur,ambassadeur,m,ɑ̃basadœʁ,ɑ̃basadœʁ
ambassadrice,ambassadrice,f,ɑ̃basadʁis,ɑ̃basadʁis
ambiance,ambiance,f,ɑ̃bjɑ̃s,ɑ̃bjɑ̃s
ambidextre,ambidextre,b,ɑ̃bidɛkstʁ,ɑ̃bidɛkstʁ
ambiguïté,ambiguïté,f,ɑ̃bigɥite,ɑ̃bigɥite
ambitieuse,ambitieuse,f,ɑ̃bisjøz,ɑ̃bisjøz
ambitieux,ambitieux,m,ɑ̃bisjø,ɑ̃bisjø
ambition,ambition,f,ɑ̃bisjɔ̃,ɑ̃bisjɔ̃
ambivalence,ambivalence,f,ɑ̃bivalɑ̃s,ɑ̃bivalɑ̃s
amble,amble,m,ɑ̃bl,ɑ̃bl
amboine,amboine,b,ɑ̃bwan,ɑ̃bwan
ambon,ambon,m,ɑ̃bɔ̃,ɑ̃bɔ̃
ambre,ambre,m,ɑ̃bʁ,ɑ̃bʁ
ambroisie,ambroisie,f,ɑ̃bʁwazi,ɑ̃bʁwazi
ambulance,ambulance,f,ɑ̃bylɑ̃s,ɑ̃bylɑ̃s
ambulancier,ambulancier,m,ɑ̃bylɑ̃sje,ɑ̃bylɑ̃sje
ambulancière,ambulancière,f,ɑ̃bylɑ̃sjɛʁ,ɑ̃bylɑ̃sjɛʁ
ambulant,ambulant,m,ɑ̃bylɑ̃,ɑ̃bylɑ̃
âme-soeur,âme-soeur,f,amsœʁ,amsœʁ
âme,âme,f,am,am
amé,amé,m,ame,ame
amélioration,amélioration,f,amEljOʁasjɔ̃,amEljOʁasjɔ̃
amen,amen,m,amɛn,amɛn
aménagement,aménagement,m,amEnaʒəmɑ̃,amEnaʒəmɑ̃
amendement,amendement,m,amɑ̃dəmɑ̃,amɑ̃dəmɑ̃
amenée,amenée,f,aməne,aməne
aménité,aménité,f,amEnite,amEnite
aménorrhée,aménorrhée,f,amEnOʁe,amEnOʁe
amenuisement,amenuisement,m,amənɥizəmɑ̃,amənɥizəmɑ̃
amer,amer,m,amɛʁ,amɛʁ
américain,américain,m,amEʁikɛ̃,amEʁikɛ̃
américaine,américaine,f,amEʁikɛn,amEʁikɛn
américanisation,américanisation,f,amEʁikanizasjɔ̃,amEʁikanizasjɔ̃
américanisme,américanisme,m,amEʁikanizm,amEʁikanizm
américanité,américanité,f,amEʁikanite,amEʁikanite
américano,américano,m,amEʁikano,amEʁikano
américium,américium,m,amEʁisjɔm,amEʁisjɔm
amérindien,amérindien,m,amEʁɛ̃djɛ̃,amEʁɛ̃djɛ̃
amérindienne,amérindienne,f,amEʁɛ̃djɛn,amEʁɛ̃djɛn
amérique,amérique,f,amEʁik,amEʁik
amerlo,amerlo,b,amɛʁlo,amɛʁlo
amerloque,amerloque,b,amɛʁlɔk,amɛʁlɔk
amerrissage,amerrissage,m,amEʁisaʒ,amEʁisaʒ
amertume,amertume,f,amɛʁtym,amɛʁtym
améthyste,améthyste,f,amEtist,amEtist
ameublement,ameublement,m,amœbləmɑ̃,amœbləmɑ̃
amharique,amharique,m,amaʁik,amaʁik
ami,ami,m,ami,ami
amiante,amiante,m,amjɑ̃t,amjɑ̃t
amibe,amibe,f,amib,amib
amicale,amicale,f,amikal,amikal
amicalité,amicalité,f,amikalite,amikalite
amidon,amidon,m,amidɔ̃,amidɔ̃
amie,amie,f,ami,ami
amigo,amigo,m,amigo,amigo
amincissant,amincissant,m,amɛ̃sisɑ̃,amɛ̃sisɑ̃
amincissement,amincissement,m,amɛ̃sisəmɑ̃,amɛ̃sisəmɑ̃
amine,amine,f,amin,amin
aminoacide,aminoacide,m,aminOasid,aminOasid
aminophylline,aminophylline,f,aminOfilin,aminOfilin
amiral,amiral,m,amiʁal,amiʁo
amirauté,amirauté,f,amiʁOte,amiʁOte
amitié,amitié,f,amitje,amitje
ammoniac,ammoniac,m,amOnjak,amOnjak
ammoniaque,ammoniaque,f,amOnjak,amOnjak
ammonite,ammonite,f,amOnit,amOnit
ammonitrate,ammonitrate,m,amOnitʁat,amOnitʁat
ammonium,ammonium,m,amOnjɔm,amOnjɔm
amnésie,amnésie,f,amnEzi,amnEzi
amnésique,amnésique,b,amnEzik,amnEzik
amniocentèse,amniocentèse,f,amnjOsɛ̃tɛz,amnjOsɛ̃tɛz
amnios,amnios,m,amnjos,amnjos
amnistie,amnistie,f,amnisti,amnisti
amnistié,amnistié,m,amnistje,amnistje
amnistiée,amnistiée,f,amnistje,amnistje
amoindrissement,amoindrissement,m,amwɛ̃dʁisəmɑ̃,amwɛ̃dʁisəmɑ̃
amok,amok,m,amɔk,amɔk
amollissement,amollissement,m,amOlisəmɑ̃,amOlisəmɑ̃
amoncellement,amoncellement,m,amɔ̃sɛləmɑ̃,amɔ̃sɛləmɑ̃
amont,amont,m,amɔ̃,amɔ̃
amontillado,amontillado,m,amɔ̃tijado,amɔ̃tijado
amoraliste,amoraliste,b,amOʁalist,amOʁalist
amoralité,amoralité,f,amOʁalite,amOʁalite
amorçage,amorçage,m,amɔʁsaʒ,amɔʁsaʒ
amorce,amorce,f,amɔʁs,amɔʁs
amorçoir,amorçoir,m,amɔʁswaʁ,amɔʁswaʁ
amorti,amorti,m,amɔʁti,amɔʁti
amortissement,amortissement,m,amɔʁtisəmɑ̃,amɔʁtisəmɑ̃
amortisseur,amortisseur,m,amɔʁtisœʁ,amɔʁtisœʁ
amour-goût,amour-goût,m,amuʁgu,amuʁgu
amour-passion,amour-passion,m,amuʁpasjɔ̃,amuʁpasjɔ̃
amour-propre,amour-propre,m,amuʁpʁɔpʁ,amuʁpʁɔpʁ
amour,amour,m,amuʁ,amuʁ
amourette,amourette,f,amuʁɛt,amuʁɛt
amoureuse,amoureuse,f,amuʁøz,amuʁøz
amoureux,amoureux,m,amuʁø,amuʁø
amours,amours,f,#DEF#,amuʁ
ampélopsis,ampélopsis,m,ɑ̃pElOpsis,ɑ̃pElOpsis
ampérage,ampérage,m,ɑ̃pEʁaʒ,ɑ̃pEʁaʒ
ampère,ampère,m,ɑ̃pɛʁ,ɑ̃pɛʁ
ampèremètre,ampèremètre,m,ɑ̃pɛʁəmɛtʁ,ɑ̃pɛʁəmɛtʁ
amphé,amphé,m,ɑ̃fe,ɑ̃fe
